"statefips","year","pm25"
22,2016,8.5397196781229
22,2017,8.87533668108628
22,2018,9.15977682528238
22,2019,8.63208340543139
22,2020,8.29546088644273
23,2016,5.92114648397241
23,2017,6.24158930648246
23,2018,5.66832566834485
23,2019,5.49229582016157
23,2020,5.36996404452142
24,2016,8.33902882594021
24,2017,8.44591658379356
24,2018,8.20225359761011
24,2019,7.84662463591518
24,2020,6.79530926924146
25,2016,6.22563204988566
25,2017,6.1485385441483
25,2018,6.77346350134008
25,2019,6.59779615284396
25,2020,6.52114182183094
26,2016,8.56378995757084
26,2017,8.15302581021782
26,2018,8.78395561920875
26,2019,8.59610044969501
26,2020,7.86791446647504
27,2016,6.63227005947484
27,2017,7.00903741829562
27,2018,7.48513845159304
27,2019,6.755260877328
27,2020,6.57745813408856
28,2016,8.55761290601258
28,2017,8.89680360599341
28,2018,9.16170577580669
28,2019,9.03660363500715
28,2020,8.83028888308003
29,2016,8.27323993080155
29,2017,8.56380490711876
29,2018,8.54996841939639
29,2019,8.07397970871972
29,2020,8.05671215995666
30,2016,5.58666988093078
30,2017,8.25922918667543
30,2018,6.64354058535106
30,2019,5.05511316787141
30,2020,6.17320573170941
31,2016,6.93584054778339
31,2017,7.91184573076527
31,2018,7.66107723761458
31,2019,6.67882793284581
31,2020,6.95375059042085
32,2016,6.45599822269152
32,2017,6.82658719866005
32,2018,7.08254961217124
32,2019,5.66587295567386
32,2020,8.07043639737088
33,2016,5.41174924534593
33,2017,5.29811877408869
33,2018,5.31537276990945
33,2019,5.19362794520548
33,2020,5.43562530054645
34,2016,8.48777356952761
34,2017,8.31074745850764
34,2018,8.31845866622919
34,2019,8.02288143302436
34,2020,7.61959793597462
35,2016,6.07275143461787
35,2017,6.1091268509622
35,2018,5.51465205479452
35,2019,5.1422341065693
35,2020,6.08675091521126
36,2016,7.5847876286316
36,2017,7.50392467737923
36,2018,7.86697102352609
36,2019,7.70598123614694
36,2020,7.44968094793746
37,2016,8.51555346809384
37,2017,8.21066892091926
37,2018,7.70490234833659
37,2019,7.83671646219078
37,2020,7.0132101248323
38,2016,4.87844298334
38,2017,6.36301651854327
38,2018,6.45496165720013
38,2019,5.31174529903107
38,2020,5.62943115473109
39,2016,9.12208610834734
39,2017,9.0526305331585
39,2018,9.13647566609938
39,2019,9.20644191613425
39,2020,8.1892576300919
40,2016,8.3482428082521
40,2017,8.7415220251971
40,2018,9.66072267476885
40,2019,9.02959996333063
40,2020,9.08967134662041
41,2016,6.53611794136065
41,2017,8.70629708015929
41,2018,8.65377770213328
41,2019,8.06091916321034
41,2020,13.0516633448519
42,2016,9.48625670905589
42,2017,9.34966905863967
42,2018,8.74024845491205
42,2019,8.69479369105054
42,2020,8.14316408745072
44,2016,6.47612063555767
44,2017,6.17391785369181
44,2018,6.9025011311317
44,2019,5.96661913260956
44,2020,6.3274502295082
45,2016,8.82581619678109
45,2017,8.50222843620834
45,2018,7.72982879084926
45,2019,8.06040756234313
45,2020,7.63903426968845
46,2016,5.24049800275686
46,2017,5.8810452795261
46,2018,5.7934319387881
46,2019,4.84698582006664
46,2020,5.58435965090548
47,2016,9.01659145540626
47,2017,8.49012549665541
47,2018,8.21448278840787
47,2019,7.94438025640322
47,2020,7.5061709296685
48,2016,8.31679571249904
48,2017,9.09428480896486
48,2018,9.4606227610014
48,2019,9.06676134034864
48,2020,8.88854753527823
49,2016,7.48387234902978
49,2017,7.37456727704781
49,2018,7.56992567794241
49,2019,6.08975409561085
49,2020,7.54479199102482
50,2016,5.0813160838382
50,2017,5.53991748064324
50,2018,6.10996380285884
50,2019,5.66208140262061
50,2020,5.80160379682324
51,2016,7.79391568249869
51,2017,7.87167745572124
51,2018,7.53372902117586
51,2019,7.55835299161338
51,2020,6.83211734960247
53,2016,6.37292166555339
53,2017,8.17946705328086
53,2018,7.84295732044199
53,2019,7.01687908309998
53,2020,9.525686639283
54,2016,7.76832495179063
54,2017,8.02401788746745
54,2018,7.63974547718782
54,2019,7.48386228914299
54,2020,6.87187704417622
55,2016,7.87518488930019
55,2017,6.90189742230078
55,2018,7.80368331909461
55,2019,7.99025281877547
55,2020,7.89127157619443
56,2016,4.26508908159463
56,2017,5.16806635533416
56,2018,4.95331222498962
56,2019,3.49651629306766
56,2020,4.65235541325137
